salamanca ciudad,lugar atractivo,salamanca lugar,lugar poder,afuera ciudad,lugar inseguro,visito universidad,lugar lindo,salamanca descuidado,area verde,precio accesibl,punto inter,transporte publico,cruz peatonal,potencial especial,especial gastronomia,gastronomia actividad,actividad cultural,lugar pequeno,pequeno atraccion,atraccion llamativo,lugar hostil,hostil recomendario,recomendario visitar,visitar dejaria,dejaria ultima,ultima opcion,opcion contar,contar lugar,lugar bonito,bonito facebook,ciudad gobierno,gobierno querer,querer hacer,hacer crecer,crecer inseguridad,inseguridad descuidado,gente salmantino,salmantino variar,variar amabilidad,amabilidad salamanca,salamanca actualmente,actualmente lugar,lugar evitar,evitar convertir,convertir lugar,lugar fantasma,fantasma inseguridad,inseguridad llevar,llevar gastronomia,gastronomia cultura,cultura salamanca,salamanca tenia,tenia perder,perder falta,falta seguridad,ciudad oportunidad,oportunidad laboral,laboral estudiantil,estudiantil decente,decente calidad,calidad vida,vida zona,zona insegura,insegura recreacion,recreacion contaminacion,contaminacion persona,lugar lugar,lugar accesibl,accesibl precio,precio lugar,poder conocer,conocer inseguridad,inseguridad gobierno,gobierno ayudar,ayudar persona,persona calir,calir poder,poder caracterizar,caracterizar lugar,lugar resiliente,oler feo,feo refineria,municipio guanajuato,guanajuato ciudad,ciudad opacado,opacado constante,constante ola,ola violencia,violencia causar,causar inseguridad,inseguridad habitante,habitante turista,turista ver,ver ciudad,ciudad industrial,industrial refineria,refineria malo,malo imagen,imagen ambiental,lugar sucio,sucio aire,aire nivel,nivel inseguridad,inseguridad alto,cosa mayoria,mayoria quedar,quedar lejos,lejos lugar,lugar delincuencia,delincuencia violencia,violencia poner,poner malo,malo finta,finta ciudad,ciudad general,general mala,mala experiencia,experiencia realmente,realmente gustariar,gustariar quedar,quedar recomendar,recomendar vengar,vengar vivir,vivir estudiar,ciudad visitar,visitar ano,ano estudio,estudio recreacion,recreacion compra,compra vivir,vivir familiar,familiar amigo,amigo impresion,impresion ciudad,ciudad lamentablemente,lamentablemente tema,tema contaminacion,contaminacion inseguridad,inseguridad afectar,afectar imagen,imagen ejemplo,ejemplo tanto,tanto confianza,confianza visitar,visitar zona,zona turistica,turistica afuera,desconocer mayoria,mayoria aspecto,aspecto preguntar,preguntar encuesta,encuesta visitar,visitar centro,llevar tiempo,tiempo vivir,vivir general,general evito,evito salir,salir inseguridad,ciudad inseguro,inseguro visito,universidad asisto,asisto lugar,lugar concurrido,concurrido amigo,amigo disfrutar,disfrutar lugar,atractivo pasar,pasar rato,rato ciudad,ciudad contaminado,contaminado humo,humo salir,salir empresa,empresa pemex,pemex destino,destino turistico,turistico valgar,valgar pena,pena carino,carino amigo,amigo familiar,familiar vivir,ciudad sucio,sucio mexico,mexico cerca,cerca refineria,refineria disgustar,disgustar colocar,colocar sede,sede ciudad,ciudad tanto,tanto inseguridad,inseguridad suciedad,peligroso bonito,lugar asentar,asentar foraneo,ciudad falta,falta arbol,arbol atencion,atencion bache,bache ciudad,ciudad lugar,lugar ver,ver bandalizado,lugar peligroso,peligroso adaptar,lugar vivir,naci visito,universidad gustar,gustar jardin,jardin principal,principal calid,calid gente,general contaminacion,contaminacion seguridad,seguridad delincuencia,delincuencia municipio,gobierno implementar,implementar cultura,cultura lugar,atractivo inseguridad,inseguridad venir,venir fuerte,fuerte cerrar,cerrar lugar,lugar malo,malo gestion,ciudad potencial,potencial turistico,turistico brutalmente,brutalmente abandonado,abandonado descuidar,opinion salamanca,salamanca convertir,convertir malo,malo inseguridad,inseguridad vivir,vivir actualmente,actualmente aparte,aparte tanto,tanto atraccion,atraccion social,social estancia,estancia visita,inseguro contaminado,contaminado aburrido,aburrido atractivo,atractivo apto,apto turismo,gustar ciudad,ciudad pequen,pequen trafico,trafico lugar,lindo afuera,ciudad vistas,vistas bonitas,bonitas hiking,hiking ruta,ruta bici,bici restaurante,restaurante valor,valor agregado,pesimo sistema,sistema transporte,transporte horario,horario vespertino,vespertino semana,semana sucio,sucio calle,calle gobierno,gobierno hablar,hablar cultura,cultura valorar,valorar paisaje,paisaje natural,natural increibl,increibl privatizado,privatizado ecoparque,ecoparque agradable,agradable seco,seco estanque,estanque variedad,variedad gastronomia,gastronomia precio,precio turistico,turistico potencial,potencial lastimo,lastimo gobierno,gobierno interesar,gastronomia lugar,atractivo visitar,lindo cosa,cosa cambiar,descuidado infraestructura,infraestructura lugar,lugar viejo,viejo caer,caer pedazos,pedazos mantenimiento,mantenimiento plaza,plaza galeria,galeria principalmente,principalmente general,general zona,zona sur,sur salamanca,descuidado calle,calle pavimento,pavimento actualmente,actualmente area,verde feo,feo calle,calle descuidado,descuidado incluir,incluir rancheria,rancheria pertenecer,pertenecer salamanca,salamanca bonito,bonito turistico,turistico mantenimiento,mantenimiento rancheria,rancheria precio,precio elevado,elevado salamanca,salamanca ganar,ganar sueldo,sueldo petrolero,petrolero ciudad,ciudad alrededor,alrededor variedad,variedad aspecto,aspecto precio,feo peligroso,peligroso salir,salir noche,faltar cosa,cosa salamanca,salamanca empezar,empezar inseguridad,inseguridad ayudar,ayudar general,sentir salamanca,ciudad necesitar,necesitar invertir,invertir seguridad,seguridad ocurrir,ocurrir ciudad,ciudad mexico,mexico considerar,considerar descuidar,descuidar ciudad,ciudad aspecto,aspecto basico,basico limpieza,limpieza riego,riego area,verde mantenimiento,mantenimiento general,general ultimamente,ultimamente percibir,percibir vida,vida nocturno,nocturno terminar,terminar impresion,impresion toque,toque queda,queda oficial,oficial razon,razon pensar,pensar salamanca,salamanca considerar,considerar ciudad,ciudad turistico,turistico deber,deber reconocer,reconocer aspecto,aspecto positivo,positivo fiesta,fiesta tianguis,tianguis ejemplo,ejemplo encontrar,encontrar producto,producto comida,comida precio,accesibl realizar,realizar evento,evento especial,especial feria,feria elote,elote feria,feria nopal,nopal centro,centro ciudad,ciudad reactivo,reactivo atraer,atraer persona,persona ayudar,ayudar impulsar,impulsar comercio,comercio local,local vida,vida lugar,lugar conclusion,conclusion salamanca,salamanca area,area importante,importante mejorar,mejorar tradicion,tradicion actividad,actividad fortalecer,fortalecer economia,economia local,local identidad,ciudad opinion,opinion descuidado,lugar familiar,familiar turistico,turistico faltar,faltar arreglo,arreglo paisaje,malo salamanca,salamanca provenir,provenir inseguridad,inseguridad falta,falta zona,zona recreativo,lugar excelente,excelente turista,turista variedad,variedad punto,inter lugar,lugar relativamente,relativamente comodo,comodo vivir,vivir salamanca,salamanca opinion,opinion genuin,genuin visitar,visitar lugar,lugar realmente,realmente unico,unico centro,centro unico,unico lugar,poder regular,regular ciudad,ciudad ciudad,ciudad promedio,promedio guanajuato,ciudad relativamente,relativamente pequen,pequen cantidad,cantidad establecimiento,establecimiento ofrecer,ofrecer variedad,variedad actividad,actividad comida,comida comida,comida salamanca,salamanca delicios,delicios nieve,nieve empanada,empanada antojito,antojito mexicano,mexicano taco,taco cuestion,cuestion variedad,variedad centro,centro art,art casa,casa cultura,cultura ofrecer,ofrecer espacio,espacio expresion,expresion artistico,artistico plaza,plaza cine,cine restaurante,restaurante centro,centro historico,historico interesante,interesante sentir,sentir seguro,seguro iluminado,iluminado decoracion,decoracion adicionalmente,adicionalmente medio,medio transporte,publico comodo,comodo andar,andar bici,bici caminar,caminar ejemplo,ejemplo colonia,colonia bellavista,bellavista alrededor,alrededor zona,zona bonito,bonito caminar,caminar ofrecer,ofrecer muchisir,muchisir restaurante,restaurante panaderia,panaderia refineria,refineria ciudad,ciudad definitivamente,definitivamente salud,salud generar,generar aroma,aroma asqueroso,asqueroso conductor,conductor paso,paso cruz,peatonal general,general conducir,conducir saltar,saltar rojo,rojo pasar,pasar musica,musica alto,alto volumen,volumen calle,calle encender,encender direccional,direccional conducir,conducir exceso,exceso velocidad,velocidad tema,tema seguridad,seguridad personalmente,personalmente sentir,sentir riesgo,riesgo asaltar,asaltar violentado,violentado ironicamen,ironicamen cruz,peatonal inclusivir,inclusivir dirio,dirio tranquilo,tranquilo ciudad,ciudad entidad,entidad irapuato,irapuato celaya,lugar promedio,promedio ofrecer,ofrecer turisticamente,principal ventaja,ventaja raro,raro encontrar,encontrar trafico,trafico tiempo,tiempo traslado,traslado sencillo,sencillo rapido,rapido falta,falta variedad,variedad establecimiento,establecimiento actividad,actividad recreativa,opinar respeto,respeto persona,persona salir,salir casa,casa mandado,mandado generalmente,generalmente salgo,salgo inseguridad,saquenmir ayudo,conocer escuchar,escuchar persona,persona vivir,vivir lugar,lugar contaminado,contaminado peligroso,peligroso recordar,recordar escuchar,escuchar cosa,cosa positivo,positivo lugar,lugar mercado,lugar punto,inter demasiado,demasiado contaminacion,contaminacion peligroso,peligroso interesante,interesante poder,punto malo,malo malo,malo intentar,intentar cosa,cosa comodidad,comodidad convivencia,convivencia mayormente,general ciudad,ciudad destacar,destacar atractivo,atractivo turistico,turistico motivir,motivir gente,gente querer,querer visitar,visitar ciudad,ciudad visualmente,visualmente bonito,bonito mayoria,mayoria olor,olor agradable,cuidad chico,chico ende,ende variedad,variedad comida,comida lugar,lugar souvenirs,souvenirs atraccion,atraccion aparte,aparte sentir,sentir tanto,tanto cultura,cultura tema,tema inseguridad,foraneo venir,venir regreso,regreso diario,diario ver,ver viajar,viajar opinion,opinion completo,inseguro transporte,transporte caro,caro comida,transporte ejemplo,ejemplo caso,caso desconocer,desconocer dema,dema igual,igual deberio,deberio limitar,limitar necesitar,necesitar regresar,regresar tocar,tocar pedir,pedir uber,uber caro,caro considerar,considerar cosa,cosa comer,comer plan,plan limitar,limitar salir,salir comer,comer comida,comida relacion,relacion calidadprecio,calidadprecio deberio,deberio cuidar,cuidar higiene,higiene comodidad,comodidad transporte,publico deficiente,deficiente conductor,conductor ofendar,ofendar paguser,paguser precio,precio estudiante
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2705719894034455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.3044323896286763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
