ngram,total_frequency,relative_frequency
salamanca ciudad,8,0.005856515373352855
lugar atractivo,6,0.004392386530014641
salamanca lugar,4,0.002928257686676428
lugar poder,4,0.002928257686676428
afuera ciudad,4,0.002928257686676428
lugar inseguro,4,0.002928257686676428
visito universidad,4,0.002928257686676428
lugar lindo,4,0.002928257686676428
salamanca descuidado,4,0.002928257686676428
area verde,4,0.002928257686676428
precio accesibl,4,0.002928257686676428
punto inter,4,0.002928257686676428
transporte publico,4,0.002928257686676428
cruz peatonal,4,0.002928257686676428
potencial especial,2,0.001464128843338214
especial gastronomia,2,0.001464128843338214
gastronomia actividad,2,0.001464128843338214
actividad cultural,2,0.001464128843338214
lugar pequeno,2,0.001464128843338214
pequeno atraccion,2,0.001464128843338214
atraccion llamativo,2,0.001464128843338214
lugar hostil,2,0.001464128843338214
hostil recomendario,2,0.001464128843338214
recomendario visitar,2,0.001464128843338214
visitar dejaria,2,0.001464128843338214
dejaria ultima,2,0.001464128843338214
ultima opcion,2,0.001464128843338214
opcion contar,2,0.001464128843338214
contar lugar,2,0.001464128843338214
lugar bonito,2,0.001464128843338214
bonito facebook,2,0.001464128843338214
ciudad gobierno,2,0.001464128843338214
gobierno querer,2,0.001464128843338214
querer hacer,2,0.001464128843338214
hacer crecer,2,0.001464128843338214
crecer inseguridad,2,0.001464128843338214
inseguridad descuidado,2,0.001464128843338214
gente salmantino,2,0.001464128843338214
salmantino variar,2,0.001464128843338214
variar amabilidad,2,0.001464128843338214
amabilidad salamanca,2,0.001464128843338214
salamanca actualmente,2,0.001464128843338214
actualmente lugar,2,0.001464128843338214
lugar evitar,2,0.001464128843338214
evitar convertir,2,0.001464128843338214
convertir lugar,2,0.001464128843338214
lugar fantasma,2,0.001464128843338214
fantasma inseguridad,2,0.001464128843338214
inseguridad llevar,2,0.001464128843338214
llevar gastronomia,2,0.001464128843338214
gastronomia cultura,2,0.001464128843338214
cultura salamanca,2,0.001464128843338214
salamanca tenia,2,0.001464128843338214
tenia perder,2,0.001464128843338214
perder falta,2,0.001464128843338214
falta seguridad,2,0.001464128843338214
ciudad oportunidad,2,0.001464128843338214
oportunidad laboral,2,0.001464128843338214
laboral estudiantil,2,0.001464128843338214
estudiantil decente,2,0.001464128843338214
decente calidad,2,0.001464128843338214
calidad vida,2,0.001464128843338214
vida zona,2,0.001464128843338214
zona insegura,2,0.001464128843338214
insegura recreacion,2,0.001464128843338214
recreacion contaminacion,2,0.001464128843338214
contaminacion persona,2,0.001464128843338214
lugar lugar,2,0.001464128843338214
lugar accesibl,2,0.001464128843338214
accesibl precio,2,0.001464128843338214
precio lugar,2,0.001464128843338214
poder conocer,2,0.001464128843338214
conocer inseguridad,2,0.001464128843338214
inseguridad gobierno,2,0.001464128843338214
gobierno ayudar,2,0.001464128843338214
ayudar persona,2,0.001464128843338214
persona calir,2,0.001464128843338214
calir poder,2,0.001464128843338214
poder caracterizar,2,0.001464128843338214
caracterizar lugar,2,0.001464128843338214
lugar resiliente,2,0.001464128843338214
oler feo,2,0.001464128843338214
feo refineria,2,0.001464128843338214
municipio guanajuato,2,0.001464128843338214
guanajuato ciudad,2,0.001464128843338214
ciudad opacado,2,0.001464128843338214
opacado constante,2,0.001464128843338214
constante ola,2,0.001464128843338214
ola violencia,2,0.001464128843338214
violencia causar,2,0.001464128843338214
causar inseguridad,2,0.001464128843338214
inseguridad habitante,2,0.001464128843338214
habitante turista,2,0.001464128843338214
turista ver,2,0.001464128843338214
ver ciudad,2,0.001464128843338214
ciudad industrial,2,0.001464128843338214
industrial refineria,2,0.001464128843338214
refineria malo,2,0.001464128843338214
malo imagen,2,0.001464128843338214
imagen ambiental,2,0.001464128843338214
lugar sucio,2,0.001464128843338214
sucio aire,2,0.001464128843338214
aire nivel,2,0.001464128843338214
nivel inseguridad,2,0.001464128843338214
inseguridad alto,2,0.001464128843338214
cosa mayoria,2,0.001464128843338214
mayoria quedar,2,0.001464128843338214
quedar lejos,2,0.001464128843338214
lejos lugar,2,0.001464128843338214
lugar delincuencia,2,0.001464128843338214
delincuencia violencia,2,0.001464128843338214
violencia poner,2,0.001464128843338214
poner malo,2,0.001464128843338214
malo finta,2,0.001464128843338214
finta ciudad,2,0.001464128843338214
ciudad general,2,0.001464128843338214
general mala,2,0.001464128843338214
mala experiencia,2,0.001464128843338214
experiencia realmente,2,0.001464128843338214
realmente gustariar,2,0.001464128843338214
gustariar quedar,2,0.001464128843338214
quedar recomendar,2,0.001464128843338214
recomendar vengar,2,0.001464128843338214
vengar vivir,2,0.001464128843338214
vivir estudiar,2,0.001464128843338214
ciudad visitar,2,0.001464128843338214
visitar ano,2,0.001464128843338214
ano estudio,2,0.001464128843338214
estudio recreacion,2,0.001464128843338214
recreacion compra,2,0.001464128843338214
compra vivir,2,0.001464128843338214
vivir familiar,2,0.001464128843338214
familiar amigo,2,0.001464128843338214
amigo impresion,2,0.001464128843338214
impresion ciudad,2,0.001464128843338214
ciudad lamentablemente,2,0.001464128843338214
lamentablemente tema,2,0.001464128843338214
tema contaminacion,2,0.001464128843338214
contaminacion inseguridad,2,0.001464128843338214
inseguridad afectar,2,0.001464128843338214
afectar imagen,2,0.001464128843338214
imagen ejemplo,2,0.001464128843338214
ejemplo tanto,2,0.001464128843338214
tanto confianza,2,0.001464128843338214
confianza visitar,2,0.001464128843338214
visitar zona,2,0.001464128843338214
zona turistica,2,0.001464128843338214
turistica afuera,2,0.001464128843338214
desconocer mayoria,2,0.001464128843338214
mayoria aspecto,2,0.001464128843338214
aspecto preguntar,2,0.001464128843338214
preguntar encuesta,2,0.001464128843338214
encuesta visitar,2,0.001464128843338214
visitar centro,2,0.001464128843338214
llevar tiempo,2,0.001464128843338214
tiempo vivir,2,0.001464128843338214
vivir general,2,0.001464128843338214
general evito,2,0.001464128843338214
evito salir,2,0.001464128843338214
salir inseguridad,2,0.001464128843338214
ciudad inseguro,2,0.001464128843338214
inseguro visito,2,0.001464128843338214
universidad asisto,2,0.001464128843338214
asisto lugar,2,0.001464128843338214
lugar concurrido,2,0.001464128843338214
concurrido amigo,2,0.001464128843338214
amigo disfrutar,2,0.001464128843338214
disfrutar lugar,2,0.001464128843338214
atractivo pasar,2,0.001464128843338214
pasar rato,2,0.001464128843338214
rato ciudad,2,0.001464128843338214
ciudad contaminado,2,0.001464128843338214
contaminado humo,2,0.001464128843338214
humo salir,2,0.001464128843338214
salir empresa,2,0.001464128843338214
empresa pemex,2,0.001464128843338214
pemex destino,2,0.001464128843338214
destino turistico,2,0.001464128843338214
turistico valgar,2,0.001464128843338214
valgar pena,2,0.001464128843338214
pena carino,2,0.001464128843338214
carino amigo,2,0.001464128843338214
amigo familiar,2,0.001464128843338214
familiar vivir,2,0.001464128843338214
ciudad sucio,2,0.001464128843338214
sucio mexico,2,0.001464128843338214
mexico cerca,2,0.001464128843338214
cerca refineria,2,0.001464128843338214
refineria disgustar,2,0.001464128843338214
disgustar colocar,2,0.001464128843338214
colocar sede,2,0.001464128843338214
sede ciudad,2,0.001464128843338214
ciudad tanto,2,0.001464128843338214
tanto inseguridad,2,0.001464128843338214
inseguridad suciedad,2,0.001464128843338214
peligroso bonito,2,0.001464128843338214
lugar asentar,2,0.001464128843338214
asentar foraneo,2,0.001464128843338214
ciudad falta,2,0.001464128843338214
falta arbol,2,0.001464128843338214
arbol atencion,2,0.001464128843338214
atencion bache,2,0.001464128843338214
bache ciudad,2,0.001464128843338214
ciudad lugar,2,0.001464128843338214
lugar ver,2,0.001464128843338214
ver bandalizado,2,0.001464128843338214
lugar peligroso,2,0.001464128843338214
peligroso adaptar,2,0.001464128843338214
lugar vivir,2,0.001464128843338214
naci visito,2,0.001464128843338214
universidad gustar,2,0.001464128843338214
gustar jardin,2,0.001464128843338214
jardin principal,2,0.001464128843338214
principal calid,2,0.001464128843338214
calid gente,2,0.001464128843338214
general contaminacion,2,0.001464128843338214
contaminacion seguridad,2,0.001464128843338214
seguridad delincuencia,2,0.001464128843338214
delincuencia municipio,2,0.001464128843338214
gobierno implementar,2,0.001464128843338214
implementar cultura,2,0.001464128843338214
cultura lugar,2,0.001464128843338214
atractivo inseguridad,2,0.001464128843338214
inseguridad venir,2,0.001464128843338214
venir fuerte,2,0.001464128843338214
fuerte cerrar,2,0.001464128843338214
cerrar lugar,2,0.001464128843338214
lugar malo,2,0.001464128843338214
malo gestion,2,0.001464128843338214
ciudad potencial,2,0.001464128843338214
potencial turistico,2,0.001464128843338214
turistico brutalmente,2,0.001464128843338214
brutalmente abandonado,2,0.001464128843338214
abandonado descuidar,2,0.001464128843338214
opinion salamanca,2,0.001464128843338214
salamanca convertir,2,0.001464128843338214
convertir malo,2,0.001464128843338214
malo inseguridad,2,0.001464128843338214
inseguridad vivir,2,0.001464128843338214
vivir actualmente,2,0.001464128843338214
actualmente aparte,2,0.001464128843338214
aparte tanto,2,0.001464128843338214
tanto atraccion,2,0.001464128843338214
atraccion social,2,0.001464128843338214
social estancia,2,0.001464128843338214
estancia visita,2,0.001464128843338214
inseguro contaminado,2,0.001464128843338214
contaminado aburrido,2,0.001464128843338214
aburrido atractivo,2,0.001464128843338214
atractivo apto,2,0.001464128843338214
apto turismo,2,0.001464128843338214
gustar ciudad,2,0.001464128843338214
ciudad pequen,2,0.001464128843338214
pequen trafico,2,0.001464128843338214
trafico lugar,2,0.001464128843338214
lindo afuera,2,0.001464128843338214
ciudad vistas,2,0.001464128843338214
vistas bonitas,2,0.001464128843338214
bonitas hiking,2,0.001464128843338214
hiking ruta,2,0.001464128843338214
ruta bici,2,0.001464128843338214
bici restaurante,2,0.001464128843338214
restaurante valor,2,0.001464128843338214
valor agregado,2,0.001464128843338214
pesimo sistema,2,0.001464128843338214
sistema transporte,2,0.001464128843338214
transporte horario,2,0.001464128843338214
horario vespertino,2,0.001464128843338214
vespertino semana,2,0.001464128843338214
semana sucio,2,0.001464128843338214
sucio calle,2,0.001464128843338214
calle gobierno,2,0.001464128843338214
gobierno hablar,2,0.001464128843338214
hablar cultura,2,0.001464128843338214
cultura valorar,2,0.001464128843338214
valorar paisaje,2,0.001464128843338214
paisaje natural,2,0.001464128843338214
natural increibl,2,0.001464128843338214
increibl privatizado,2,0.001464128843338214
privatizado ecoparque,2,0.001464128843338214
ecoparque agradable,2,0.001464128843338214
agradable seco,2,0.001464128843338214
seco estanque,2,0.001464128843338214
estanque variedad,2,0.001464128843338214
variedad gastronomia,2,0.001464128843338214
gastronomia precio,2,0.001464128843338214
precio turistico,2,0.001464128843338214
turistico potencial,2,0.001464128843338214
potencial lastimo,2,0.001464128843338214
lastimo gobierno,2,0.001464128843338214
gobierno interesar,2,0.001464128843338214
gastronomia lugar,2,0.001464128843338214
atractivo visitar,2,0.001464128843338214
lindo cosa,2,0.001464128843338214
cosa cambiar,2,0.001464128843338214
descuidado infraestructura,2,0.001464128843338214
infraestructura lugar,2,0.001464128843338214
lugar viejo,2,0.001464128843338214
viejo caer,2,0.001464128843338214
caer pedazos,2,0.001464128843338214
pedazos mantenimiento,2,0.001464128843338214
mantenimiento plaza,2,0.001464128843338214
plaza galeria,2,0.001464128843338214
