topico,rank,palabra,peso
Topico_0,1,lugar,32.150540984262726
Topico_0,2,vivir,8.14295705910075
Topico_0,3,salamanca,6.144387354844738
Topico_0,4,poder,6.14325836778161
Topico_0,5,visitar,4.143278528310911
Topico_0,6,persona,4.143007603895291
Topico_0,7,contaminado,4.142882833159398
Topico_0,8,unico,4.142857066053174
Topico_0,9,lugar poder,4.14285706600943
Topico_0,10,conocer,4.1428570536431515
Topico_1,1,salamanca,10.138536357443963
Topico_1,2,lugar,8.139491325200826
Topico_1,3,turistico,6.1434733812668165
Topico_1,4,descuidado,6.143336315755463
Topico_1,5,variedad,6.1431682264272665
Topico_1,6,precio,6.143027554901264
Topico_1,7,calle,6.142869500972181
Topico_1,8,gobierno,4.14303214787818
Topico_1,9,mantenimiento,4.142863190217026
Topico_1,10,salamanca descuidado,4.142857108174393
Topico_2,1,ciudad,12.142526934399097
Topico_2,2,ofrecer,6.143416192138878
Topico_2,3,centro,6.142896583990794
Topico_2,4,lugar,6.138530594241331
Topico_2,5,comida,4.143170985282137
Topico_2,6,variedad,4.143082791316168
Topico_2,7,sentir,4.142966079793096
Topico_2,8,restaurante,4.1429460862288545
Topico_2,9,cruz,4.142857124589124
Topico_2,10,cruz peatonal,4.142857124589124
Topico_3,1,ciudad,16.144350655381874
Topico_3,2,salamanca,8.145196284353512
Topico_3,3,visitar,4.143251603690516
Topico_3,4,salamanca ciudad,4.143142453003201
Topico_3,5,aspecto,4.14312373405287
Topico_3,6,vida,4.142995515714294
Topico_3,7,considerar,4.142896600935563
Topico_3,8,ejemplo,4.1428925732803545
Topico_3,9,area,4.14288053851183
Topico_3,10,local,4.1428571222009705
Topico_4,1,ciudad,18.1426897729911
Topico_4,2,inseguridad,14.144172582282168
Topico_4,3,malo,10.143135102537231
Topico_4,4,lugar,8.14276106222213
Topico_4,5,salamanca,8.142660360388817
Topico_4,6,tanto,6.14288201909344
Topico_4,7,atractivo,4.143352238301559
Topico_4,8,refineria,4.143217902642717
Topico_4,9,atraccion,4.143106583015354
Topico_4,10,mayoria,4.143044430538284
Topico_5,1,inseguridad,6.144598780196977
Topico_5,2,general,6.143134315990303
Topico_5,3,salir,6.1429286746375285
Topico_5,4,peligroso,2.144461414148578
Topico_5,5,cosa,2.143220647516996
Topico_5,6,feo,2.143188254794102
Topico_5,7,faltar,2.1430614759098154
Topico_5,8,salamanca,2.1429733570266722
Topico_5,9,persona,2.142935065083417
Topico_5,10,tiempo,2.1429098920917244
Topico_6,1,lugar,16.142852606813538
Topico_6,2,ciudad,10.142589849419284
Topico_6,3,transporte,6.142793489217089
Topico_6,4,salamanca,4.143069964114907
Topico_6,5,inseguro,4.142966991141867
Topico_6,6,amigo,4.142878657139086
Topico_6,7,deberio,4.1428570905144415
Topico_6,8,comer,4.1428570905144415
Topico_6,9,limitar,4.1428570905144415
Topico_6,10,caro,4.1428568384293145
