cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
5,1,lugar,0.111755,1.847298,5,14
5,2,ciudad,0.089323,2.252763,3,14
5,3,vetir,0.076923,2.94591,1,14
5,4,inseguro,0.065202,2.540445,2,14
5,5,comida,0.06216,2.252763,3,14
5,6,saquenmir,0.054393,2.94591,1,14
5,7,ayudo,0.054393,2.94591,1,14
5,8,adaptar,0.049724,2.94591,1,14
5,9,peligroso,0.049724,2.94591,1,14
5,10,atractivo,0.04784,2.540445,2,14
5,11,inseguridad,0.047018,2.252763,3,14
5,12,oler,0.04644,2.94591,1,14
5,13,feo,0.04644,2.94591,1,14
5,14,refineria,0.046157,2.540445,2,14
5,15,contaminacion,0.044752,2.540445,2,14
