cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
2,1,asentar foraneo,0.176777,2.098612,2,8
2,2,lugar asentar,0.176777,2.098612,2,8
2,3,lugar inseguro,0.125,2.504077,1,8
2,4,lugar peligroso,0.088388,2.504077,1,8
2,5,peligroso adaptar,0.088388,2.504077,1,8
2,6,desconocer mayoria,0.051031,2.504077,1,8
2,7,general evito,0.051031,2.504077,1,8
2,8,vivir general,0.051031,2.504077,1,8
2,9,tiempo vivir,0.051031,2.504077,1,8
2,10,llevar tiempo,0.051031,2.504077,1,8
2,11,visitar centro,0.051031,2.504077,1,8
2,12,preguntar encuesta,0.051031,2.504077,1,8
2,13,aspecto preguntar,0.051031,2.504077,1,8
2,14,mayoria aspecto,0.051031,2.504077,1,8
2,15,encuesta visitar,0.051031,2.504077,1,8
