cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
8,1,lugar,0.228019,1.510826,2,4
8,2,peligroso,0.228019,1.510826,2,4
8,3,inseguro,0.196322,1.916291,1,4
8,4,bonito,0.196322,1.916291,1,4
8,5,inter,0.092891,1.916291,1,4
8,6,interesante,0.092891,1.916291,1,4
8,7,contaminacion,0.092891,1.916291,1,4
8,8,poder,0.092891,1.916291,1,4
8,9,demasiado,0.092891,1.916291,1,4
8,10,punto,0.092891,1.916291,1,4
8,11,rapido,0.066815,1.916291,1,4
8,12,falta,0.066815,1.916291,1,4
8,13,recreativa,0.066815,1.916291,1,4
8,14,traslado,0.066815,1.916291,1,4
8,15,sencillo,0.066815,1.916291,1,4
