cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
2,1,salamanca,0.159741,1.747214,8,18
2,2,lugar,0.148346,1.641854,9,18
2,3,ciudad,0.1352,1.747214,8,18
2,4,descuidado,0.095165,2.335001,4,18
2,5,opinion,0.078273,2.558145,3,18
2,6,inseguridad,0.062621,2.15268,5,18
2,7,falta,0.04862,2.558145,3,18
2,8,variedad,0.047676,2.335001,4,18
2,9,vivir,0.045484,2.558145,3,18
2,10,turista,0.045201,2.558145,3,18
2,11,promedio,0.040732,2.845827,2,18
2,12,excelente,0.037843,2.845827,2,18
2,13,inter,0.037843,2.845827,2,18
2,14,comodo,0.037843,2.845827,2,18
2,15,punto,0.037843,2.845827,2,18
