cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
0,1,lugar,0.12724,1.875469,9,28
0,2,salamanca,0.096622,1.980829,8,28
0,3,aventura,0.086957,3.079442,2,28
0,4,ciudad,0.084041,1.980829,8,28
0,5,inseguridad,0.068879,1.875469,9,28
0,6,llamativo,0.047362,3.079442,2,28
0,7,atraccion,0.047362,3.079442,2,28
0,8,pequeno,0.047362,3.079442,2,28
0,9,neutral,0.043478,3.484907,1,28
0,10,refineria,0.041525,2.568616,4,28
0,11,visitar,0.038908,2.791759,3,28
0,12,gobierno,0.034444,2.791759,3,28
0,13,persona,0.032561,2.791759,3,28
0,14,zona,0.031982,2.568616,4,28
0,15,recreacion,0.031556,2.791759,3,28
