cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
4,1,lugar,0.140408,1.955511,4,12
4,2,vivir,0.103057,2.178655,3,12
4,3,neutral,0.083333,2.871802,1,12
4,4,inseguridad,0.077134,2.178655,3,12
4,5,ciudad,0.075107,2.178655,3,12
4,6,inseguro,0.068881,2.871802,1,12
4,7,malo,0.064406,2.466337,2,12
4,8,ayudo,0.058926,2.871802,1,12
4,9,saquenmir,0.058926,2.871802,1,12
4,10,general,0.057883,2.178655,3,12
4,11,salir,0.055438,2.466337,2,12
4,12,turistico,0.050115,2.466337,2,12
4,13,gente,0.044794,2.466337,2,12
4,14,cosa,0.040125,2.466337,2,12
4,15,nivel,0.037123,2.871802,1,12
