ngrama,modelo,cluster,n_docs,palabras_clave
unigramas,jerarquico,0,28,"lugar, salamanca, aventura, ciudad, inseguridad, llamativo, atraccion, pequeno, neutral, refineria"
unigramas,jerarquico,1,11,"lugar, cosa, peligroso, lindo, cambiar, gastronomia, atractivo, ciudad, bonito, visitar"
unigramas,jerarquico,2,18,"salamanca, lugar, ciudad, descuidado, opinion, inseguridad, falta, variedad, vivir, turista"
unigramas,jerarquico,3,7,"lugar, vivir, general, cosa, ofrecer, promedio, turisticamente, escuchar, seguridad, municipio"
unigramas,jerarquico,4,12,"lugar, vivir, neutral, inseguridad, ciudad, inseguro, malo, ayudo, saquenmir, general"
unigramas,jerarquico,5,4,"peligroso, lugar, inseguro, bonito, demasiado, poder, contaminacion, interesante, inter, punto"
unigramas,jerarquico,6,14,"lugar, ciudad, vetir, inseguro, comida, ayudo, saquenmir, adaptar, peligroso, atractivo"
unigramas,jerarquico,7,4,"ciudad, descuidar, abandonado, brutalmente, turistico, potencial, visita, atraccion, opinion, tanto"
unigramas,jerarquico,8,7,"lugar, vetir, visitar, atractivo, gastronomia, amigo, ciudad, asentar, foraneo, salamanca"
unigramas,jerarquico,9,11,"salamanca, peligroso, noche, salir, feo, ciudad, gobierno, turistico, paisaje, lugar"
bigramas,jerarquico,0,88,"lugar vivir, salamanca ciudad, lugar inseguro, lugar atractivo, lugar lindo, oler feo, feo refineria, ciudad opinion, opinion descuidado, gastronomia lugar"
bigramas,jerarquico,1,8,"asentar foraneo, lugar asentar, lugar inseguro, peligroso adaptar, lugar peligroso, salir inseguridad, evito salir, encuesta visitar, general evito, vivir general"
bigramas,jerarquico,2,4,"visitar centro, encuesta visitar, preguntar encuesta, aspecto preguntar, mayoria aspecto, desconocer mayoria, calid gente, principal calid, jardin principal, gustar jardin"
bigramas,jerarquico,3,4,"peligroso bonito, abandonado descuidar, brutalmente abandonado, turistico brutalmente, potencial turistico, ciudad potencial, ver bandalizado, lugar ver, ciudad lugar, bache ciudad"
bigramas,jerarquico,4,4,"salamanca descuidado, ciudad potencial, brutalmente abandonado, potencial turistico, turistico brutalmente, abandonado descuidar, variedad punto, turista variedad, excelente turista, lugar excelente"
bigramas,dbscan,0,76,"lugar vivir, lugar inseguro, salamanca ciudad, lugar atractivo, feo refineria, oler feo, lugar lindo, opinion descuidado, ciudad opinion, atractivo visitar"
bigramas,dbscan,1,4,"visitar centro, encuesta visitar, preguntar encuesta, aspecto preguntar, mayoria aspecto, desconocer mayoria, calid gente, principal calid, jardin principal, gustar jardin"
bigramas,dbscan,2,8,"asentar foraneo, lugar asentar, lugar inseguro, peligroso adaptar, lugar peligroso, salir inseguridad, evito salir, encuesta visitar, general evito, vivir general"
bigramas,dbscan,3,4,"peligroso bonito, abandonado descuidar, brutalmente abandonado, turistico brutalmente, potencial turistico, ciudad potencial, ver bandalizado, lugar ver, ciudad lugar, bache ciudad"
bigramas,dbscan,4,8,"peligroso adaptar, lugar peligroso, calid gente, salamanca ciudad, visito universidad, ciudad gobierno, gobierno querer, querer hacer, hacer crecer, crecer inseguridad"
bigramas,dbscan,5,4,"salamanca descuidado, ciudad potencial, brutalmente abandonado, potencial turistico, turistico brutalmente, abandonado descuidar, variedad punto, turista variedad, excelente turista, lugar excelente"
bigramas,dbscan,6,4,"saquenmir ayudo, salamanca empezar, cosa salamanca, faltar cosa, ayudar general, inseguridad ayudar, empezar inseguridad"
trigramas,jerarquico,0,34,"lugar peligroso adaptar, oler feo refineria, lugar asentar foraneo, aburrido atractivo apto, atractivo apto turismo, inseguro contaminado aburrido, lugar inseguro contaminado, contaminado aburrido atractivo, gastronomia lugar atractivo, pequeno atraccion llamativo"
trigramas,jerarquico,1,8,"punto malo malo, comodidad convivencia mayormente, cosa comodidad convivencia, intentar cosa comodidad, malo intentar cosa, malo malo intentar, principal calid gente, naci visito universidad, jardin principal calid, gustar jardin principal"
trigramas,jerarquico,2,14,"oler feo refineria, peligroso salir noche, feo peligroso salir, lugar atractivo visitar, gastronomia lugar atractivo, desconocer mayoria aspecto, mayoria aspecto preguntar, aspecto preguntar encuesta, preguntar encuesta visitar, encuesta visitar centro"
trigramas,jerarquico,3,12,"salamanca ciudad gobierno, crecer inseguridad descuidado, hacer crecer inseguridad, querer hacer crecer, ciudad gobierno querer, gobierno querer hacer, lugar promedio ofrecer, promedio ofrecer turisticamente, inseguro transporte caro, transporte caro comida"
trigramas,jerarquico,4,4,"ciudad oportunidad laboral, insegura recreacion contaminacion, recreacion contaminacion persona, calidad vida zona, vida zona insegura, zona insegura recreacion, decente calidad vida, estudiantil decente calidad, laboral estudiantil decente, oportunidad laboral estudiantil"
trigramas,jerarquico,5,2,"lugar ver bandalizado, ciudad lugar ver, bache ciudad lugar, atencion bache ciudad, arbol atencion bache, falta arbol atencion, ciudad falta arbol, restaurante valor agregado, bici restaurante valor, ruta bici restaurante"
