cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
6,1,lugar,0.204338,1.287682,5,7
6,2,vetir,0.142857,2.386294,1,7
6,3,visitar,0.1263,1.980829,2,7
6,4,atractivo,0.113044,1.693147,3,7
6,5,gastronomia,0.106417,1.980829,2,7
6,6,ciudad,0.103604,1.980829,2,7
6,7,amigo,0.103604,1.980829,2,7
6,8,foraneo,0.094378,2.386294,1,7
6,9,asentar,0.094378,2.386294,1,7
6,10,salamanca,0.062566,2.386294,1,7
6,11,centro,0.055236,2.386294,1,7
6,12,mayoria,0.055236,2.386294,1,7
6,13,aspecto,0.055236,2.386294,1,7
6,14,preguntar,0.055236,2.386294,1,7
6,15,encuesta,0.055236,2.386294,1,7
