cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
7,1,salamanca,0.096825,1.875469,4,11
7,2,peligroso,0.096542,2.386294,2,11
7,3,noche,0.096542,2.386294,2,11
7,4,salir,0.095693,2.098612,3,11
7,5,feo,0.094426,2.098612,3,11
7,6,ciudad,0.079772,2.098612,3,11
7,7,gobierno,0.068598,2.386294,2,11
7,8,turistico,0.064122,1.693147,5,11
7,9,paisaje,0.062801,2.098612,3,11
7,10,lugar,0.059477,1.875469,4,11
7,11,malo,0.055484,2.386294,2,11
7,12,inseguridad,0.055484,2.386294,2,11
7,13,precio,0.054178,1.693147,5,11
7,14,transporte,0.051743,2.098612,3,11
7,15,calle,0.049209,2.098612,3,11
