cluster,indice_global,sim_coseno_tfidf,sim_coseno_reducido,top_en_tfidf,top_en_reducido,coincide_en_ambos,comentario_cleaned,comentario,genero,lugar,edad
0,30,0.239407,1.0,False,True,False,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,mujer,salamanca,22
0,3,0.278928,1.0,False,True,False,salamanca ciudad gobierno querer hacer crecer inseguridad descuidado,"creo que salamanca podria ser una buena ciudad si el gobierno quisiera hacerla crecer, pero hay mucha inseguridad y todo se ve muy descuidado",mujer,irapuato,25
0,9,0.414736,0.999999,False,True,False,oler feo refineria,huele feo la refineria,mujer,salamanca,22
0,12,0.443354,0.999987,True,False,False,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar recomendar vengar vivir estudiar,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",mujer,leon,20
0,17,0.439661,0.99998,True,False,False,,,hombre,leon,22
0,70,0.443354,0.999906,True,False,False,,,hombre,leon,20
1,62,0.387123,0.999998,False,True,False,potencial especial gastronomia actividad cultural,"creo que tiene mucho potencial, en especial en cuanto a la gastronomia y las actividades culturales",mujer,irapuato,23
1,24,0.580435,0.999993,False,True,False,lugar peligroso adaptar,es un lugar peligroso pero te adaptas,mujer,villagran,18
1,82,0.580435,0.999991,False,True,False,peligroso bonito,un poco peligroso pero bonito,otro,valle de santiago,27
1,96,0.613484,0.999982,True,False,False,lugar inseguro contaminado aburrido atractivo apto turismo,"es un lugar bastante inseguro, contaminado, aburrido y poco atractivo, no es muy apto para el turismo",hombre,salamanca,20
1,38,0.613484,0.999979,True,False,False,lugar lindo cosa cambiar,es un lugar lindo pero hay muchas cosas que se pueden cambiar,mujer,salamanca,22
1,100,0.581338,0.999979,True,False,False,lugar lindo cosa cambiar,es un lugar lindo pero hay muchas cosas que se pueden cambiar,mujer,salamanca,22
2,106,0.326181,1.0,False,True,False,lugar familiar turistico faltar arreglo paisaje,"es un lugar familiar mas que turistico , falta un poco en cuanto arreglo del paisaje .",mujer,michoacan,21
2,81,0.573915,0.999999,True,True,True,ciudad sucio mexico cerca refineria disgustar colocar sede ciudad tanto inseguridad suciedad,es de las ciudades mas sucias de mexico por tener aqui cerca la refineria. me disgusta que se haya colocado una sede de la ug en una ciudad con tanta inseguridad y suciedad.,mujer,guanajuato,20
2,48,0.326181,0.999997,False,True,False,vivir salamanca opinion genuin visitar lugar realmente unico centro unico lugar poder regular ciudad ciudad promedio guanajuato,"no vivo en salamanca, entonces mi opinion al respecto no es muy genuina porque he visitado pocas veces este lugar, pero realmente lo unico que he hecho es ir al centro, es como el unico lugar donde puedes hacer algo, me parece regular, no es una gran ciudad, es una ciudad bastante promedio en guanajuato",mujer,irapuato,20
2,23,0.573915,0.999965,True,False,False,ciudad falta arbol atencion bache ciudad lugar ver bandalizado,"es una ciudad que le hacen falta arboles y atenciones como baches en la ciudad, ademas hay lugares que se ven bandalizados",mujer,irapuato,22
2,43,0.528257,0.999961,True,False,False,salamanca ciudad opinion descuidado,salamanca es una ciudad algo grande pero en mi opinion esta algo descuidada.,hombre,otro,19
3,54,0.7102,1.0,True,True,True,conocer escuchar persona vivir lugar contaminado peligroso recordar escuchar cosa positivo lugar mercado,"no la conozco muy bien pero todo lo que escucho de personas que viven ahi y no son de ahi es que es un lugar muy contaminado y peligroso, y no recuerdo nunca haber escuchado cosas positivas del lugar que no sean sus mercados",hombre,irapuato,22
3,112,0.7102,1.0,True,True,True,lugar promedio ofrecer turisticamente,un lugar muy promedio sin mucho que ofrecer turisticamente,hombre,salamanca,19
3,87,0.639554,0.999998,True,True,True,lugar vivir,es un buen lugar para vivir,hombre,salamanca,20
4,31,0.560543,1.0,False,True,False,ciudad potencial turistico brutalmente abandonado descuidar,una ciudad con potencial turistico pero brutalmente abandonada y descuidada,hombre,salamanca,21
4,15,0.652256,1.0,True,True,True,llevar tiempo vivir general evito salir inseguridad,"llevo poco tiempo viviendo aqui, por lo general evito salir por la inseguridad.",mujer,michoacan,18
4,16,0.526699,0.999999,False,True,False,lugar inseguro,es un lugar un poco inseguro,mujer,salamanca,20
4,114,0.618614,0.999998,True,False,False,opinar respeto persona salir casa mandado generalmente salgo inseguridad,"no puedo opinar mucho al respeto ya que soy de las personas que casi no salen de su casa mas que para el mandado, generalmente no salgo por la inseguridad",mujer,guanajuato,21
4,73,0.652256,0.999996,True,False,False,lugar sucio aire nivel inseguridad alto,"es un lugar muy sucio incluso en el aire, donde se tienen niveles de inseguridad bastante altos",hombre,guanajuato,26
5,20,0.78027,1.0,False,True,False,peligroso bonito,un poco peligroso pero bonito,otro,valle de santiago,27
5,55,0.78027,1.0,True,True,True,lugar punto inter demasiado contaminacion peligroso interesante poder,"creo que no es un lugar al cual sea un punto de interes para conocer, me parece que hay demasiada contaminacion, es muy peligroso y no hay nada interesante que puedas hacer",hombre,salvatierra,20
5,113,0.78027,1.0,True,True,True,principal ventaja raro encontrar trafico tiempo traslado sencillo rapido falta variedad establecimiento actividad recreativa,su principal ventaja es que es raro encontrar trafico y los tiempos de traslado son sencillos y rapidos pero le hace falta mas variedad de establecimientos asi como actividades recreativas.,hombre,guanajuato,20
5,78,0.78027,1.0,True,False,False,lugar inseguro,es un lugar un poco inseguro,mujer,salamanca,20
6,27,0.450669,1.0,False,True,False,naci visito universidad gustar jardin principal calid gente,"aqui naci lo visito por la universidad, me gusta su jardin principal y la calides de la gente",mujer,cortazar,21
6,60,0.294239,0.999999,False,True,False,inseguro transporte caro comida,"es muy inseguro, los transportes son caros al igual que ciertas comidas.",mujer,salamanca,22
6,13,0.421656,0.999999,False,True,False,salamanca ciudad visitar ano estudio recreacion compra vivir familiar amigo impresion ciudad lamentablemente tema contaminacion inseguridad afectar imagen ejemplo tanto confianza visitar zona turistica afuera ciudad,"salamanca es una ciudad que he visitado desde hace muchos anos por estudios, recreacion y para hacer compras. ahi viven algunos de mis familiares y amigos y eso me hace tener una buena impresion de la ciudad. sin embargo, tambien creo que, lamentablemente, los temas de la contaminacion y la inseguridad han afectado su imagen y, por ejemplo, ya no se tiene tanta confianza para visitar zonas turisticas a las afueras de la ciudad.",hombre,valle de santiago,30
6,34,0.601102,0.999997,True,False,False,lugar inseguro contaminado aburrido atractivo apto turismo,"es un lugar bastante inseguro, contaminado, aburrido y poco atractivo, no es muy apto para el turismo",hombre,salamanca,20
6,92,0.601102,0.999988,True,False,False,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,mujer,salamanca,22
6,53,0.53791,0.999954,True,False,False,saquenmir ayudo,saquenme de aqui ayuda,mujer,cueramaro,21
7,93,0.764977,1.0,True,True,True,ciudad potencial turistico brutalmente abandonado descuidar,una ciudad con potencial turistico pero brutalmente abandonada y descuidada,hombre,salamanca,21
7,35,0.764977,1.0,True,True,True,gustar ciudad pequen trafico lugar lindo afuera ciudad vistas bonitas hiking ruta bici restaurante valor agregado,"me gusta la ciudad porque es pequena, no tiene trafico, tiene lugares muy lindos a las afueras de la ciudad para vistas bonitas, hacer hiking, rutas de bici etc... y son pocos los buenos restaurantes pero con valor agregado c/u.",mujer,leon,20
7,90,0.764977,1.0,True,True,True,,.,hombre,salamanca,20
8,22,0.704315,1.0,False,True,False,lugar asentar foraneo,es buen lugar para asentarse siendo foraneo,hombre,arandas,19
8,80,0.704315,0.999999,False,True,False,ciudad inseguro visito universidad asisto lugar concurrido amigo disfrutar lugar atractivo pasar rato ciudad contaminado humo salir empresa pemex destino turistico valgar pena carino amigo familiar vivir,"es una ciudad bastante insegura, la visito por la universidad y de vez en cuando asisto a lugares concurridos con mis amigos para disfrutar. sin embargo no tiene lugares atractivos para pasar el rato. es una ciudad muy contaminada y siempre se ve mucho humo saliendo de las empresas de pemex. no tiene destinos turisticos que valgan la pena. le tengo carino por mis amigos y familiares que viven ahi.",hombre,irapuato,20
8,95,0.725937,0.999999,True,True,True,vetir,vete de aqui lo mas pronto posible. :dd,hombre,guanajuato,22
8,18,0.732273,0.999999,True,False,False,ciudad inseguro visito universidad asisto lugar concurrido amigo disfrutar lugar atractivo pasar rato ciudad contaminado humo salir empresa pemex destino turistico valgar pena carino amigo familiar vivir,"es una ciudad bastante insegura, la visito por la universidad y de vez en cuando asisto a lugares concurridos con mis amigos para disfrutar. sin embargo no tiene lugares atractivos para pasar el rato. es una ciudad muy contaminada y siempre se ve mucho humo saliendo de las empresas de pemex. no tiene destinos turisticos que valgan la pena. le tengo carino por mis amigos y familiares que viven ahi.",hombre,irapuato,20
8,76,0.732273,0.999999,True,False,False,desconocer mayoria aspecto preguntar encuesta visitar centro,desconozco la mayoria de aspectos que se preguntan en esta encuesta ya que nunca he visitado el centro,hombre,abasolo,19
9,44,0.572273,1.0,False,True,False,lugar familiar turistico faltar arreglo paisaje,"es un lugar familiar mas que turistico , falta un poco en cuanto arreglo del paisaje .",mujer,michoacan,21
9,46,0.403275,0.999999,False,True,False,malo salamanca provenir inseguridad falta zona recreativo,"creo que todo lo malo de salamanca proviene de la inseguridad, y que hacen falta mas zonas para lo recreativo",hombre,salamanca,21
9,36,0.596333,0.999999,False,True,False,pesimo sistema transporte horario vespertino semana sucio calle gobierno hablar cultura valorar paisaje natural increibl privatizado ecoparque agradable seco estanque variedad gastronomia precio turistico potencial lastimo gobierno interesar,"pesimo sistema de transporte en horarios vespertinos o de fin de semana, muy sucias sus calles, su gobierno ni hablar, sin embargo, tiene mucha cultura solo q no es valorada como es debido y vaya q si tiene paisajes naturales increibles, aunque privatizados y el ecoparque tambien es agradable, aunque seco el estanque ;( y la variedad de gastronomia como sus precios son muy buenos. en la parte turistica tiene mucho potencial lastima q al gobierno no le interesa.",mujer,guanajuato,27
9,94,0.596333,0.999996,True,False,False,opinion salamanca convertir malo inseguridad vivir actualmente aparte tanto atraccion social estancia visita,"mi opinion es que salamanca se convierte en algo malo por su inseguridad que vive actualmente, aparte de que no cuenta con tantas atracciones sociales para la estancia o visita",hombre,guanajuato,20
9,98,0.675517,0.999989,True,False,False,pesimo sistema transporte horario vespertino semana sucio calle gobierno hablar cultura valorar paisaje natural increibl privatizado ecoparque agradable seco estanque variedad gastronomia precio turistico potencial lastimo gobierno interesar,"pesimo sistema de transporte en horarios vespertinos o de fin de semana, muy sucias sus calles, su gobierno ni hablar, sin embargo, tiene mucha cultura solo q no es valorada como es debido y vaya q si tiene paisajes naturales increibles, aunque privatizados y el ecoparque tambien es agradable, aunque seco el estanque ;( y la variedad de gastronomia como sus precios son muy buenos. en la parte turistica tiene mucho potencial lastima q al gobierno no le interesa.",mujer,guanajuato,27
9,40,0.675517,0.999989,True,False,False,feo peligroso salir noche,esta muy feo... es peligroso salir ya sea de dia o de noche,mujer,guanajuato,19
