cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
5,1,peligroso,0.228019,1.510826,2,4
5,2,lugar,0.228019,1.510826,2,4
5,3,inseguro,0.196322,1.916291,1,4
5,4,bonito,0.196322,1.916291,1,4
5,5,demasiado,0.092891,1.916291,1,4
5,6,poder,0.092891,1.916291,1,4
5,7,contaminacion,0.092891,1.916291,1,4
5,8,interesante,0.092891,1.916291,1,4
5,9,inter,0.092891,1.916291,1,4
5,10,punto,0.092891,1.916291,1,4
5,11,traslado,0.066815,1.916291,1,4
5,12,raro,0.066815,1.916291,1,4
5,13,falta,0.066815,1.916291,1,4
5,14,actividad,0.066815,1.916291,1,4
5,15,ventaja,0.066815,1.916291,1,4
