rank,modelo,score_ranking,silhouette,n_clusters,n_ruido,inercia,codo_k,hiperparametros
1,hdbscan,0.189037,0.285097,176,16738,,,"min_cluster_size=30,min_samples=10"
1,jerarquico,0.644061,0.644061,2,0,,,"k=2,metodo=average"
2,jerarquico,0.644061,0.644061,2,0,,,"k=2,metodo=single"
3,jerarquico,0.620555,0.620555,3,0,,,"k=3,metodo=single"
4,jerarquico,0.57523,0.57523,4,0,,,"k=4,metodo=single"
5,jerarquico,0.565119,0.565119,3,0,,,"k=3,metodo=average"
6,jerarquico,0.529495,0.529495,5,0,,,"k=5,metodo=single"
7,jerarquico,0.479623,0.479623,6,0,,,"k=6,metodo=single"
8,jerarquico,0.444789,0.444789,2,0,,,"k=2,metodo=complete"
9,jerarquico,0.430546,0.430546,4,0,,,"k=4,metodo=average"
10,jerarquico,0.401203,0.401203,7,0,,,"k=7,metodo=single"
11,jerarquico,0.394626,0.394626,5,0,,,"k=5,metodo=average"
12,jerarquico,0.381255,0.381255,10,0,,,"k=10,metodo=ward"
13,jerarquico,0.380591,0.380591,3,0,,,"k=3,metodo=complete"
14,jerarquico,0.374233,0.374233,8,0,,,"k=8,metodo=ward"
15,jerarquico,0.372152,0.372152,9,0,,,"k=9,metodo=ward"
16,jerarquico,0.356746,0.356746,2,0,,,"k=2,metodo=ward"
17,jerarquico,0.355367,0.355367,5,0,,,"k=5,metodo=ward"
18,jerarquico,0.352732,0.352732,7,0,,,"k=7,metodo=ward"
19,jerarquico,0.345417,0.345417,6,0,,,"k=6,metodo=ward"
20,jerarquico,0.342377,0.342377,4,0,,,"k=4,metodo=ward"
21,jerarquico,0.340078,0.340078,3,0,,,"k=3,metodo=ward"
22,jerarquico,0.338609,0.338609,5,0,,,"k=5,metodo=complete"
23,jerarquico,0.326814,0.326814,9,0,,,"k=9,metodo=average"
24,jerarquico,0.320905,0.320905,6,0,,,"k=6,metodo=average"
25,jerarquico,0.310735,0.310735,10,0,,,"k=10,metodo=average"
26,jerarquico,0.304616,0.304616,7,0,,,"k=7,metodo=average"
27,jerarquico,0.303969,0.303969,8,0,,,"k=8,metodo=single"
28,jerarquico,0.286078,0.286078,8,0,,,"k=8,metodo=average"
29,jerarquico,0.256462,0.256462,4,0,,,"k=4,metodo=complete"
30,jerarquico,0.255058,0.255058,6,0,,,"k=6,metodo=complete"
31,jerarquico,0.251138,0.251138,9,0,,,"k=9,metodo=complete"
32,jerarquico,0.250951,0.250951,8,0,,,"k=8,metodo=complete"
33,jerarquico,0.250451,0.250451,7,0,,,"k=7,metodo=complete"
34,jerarquico,0.228732,0.228732,10,0,,,"k=10,metodo=complete"
35,jerarquico,0.216718,0.216718,9,0,,,"k=9,metodo=single"
36,jerarquico,0.209141,0.209141,10,0,,,"k=10,metodo=single"
1,kmeans,0.833333,0.427209,8,0,127504.1641,3.0,k=8
2,kmeans,0.788599,0.417779,6,0,181340.0312,3.0,k=6
3,kmeans,0.743312,0.422411,9,0,110826.8438,3.0,k=9
4,kmeans,0.533955,0.393402,5,0,227406.8125,3.0,k=5
5,kmeans,0.515986,0.397525,7,0,157612.0781,3.0,k=7
6,kmeans,0.433702,0.382095,4,0,302239.4375,3.0,k=4
7,kmeans,0.38189,0.394639,10,0,103469.4766,3.0,k=10
8,kmeans,0.330917,0.373394,2,0,552932.0,3.0,k=2
9,kmeans,0.3,0.367955,3,0,380492.6875,3.0,k=3
