rank,modelo,score_ranking,silhouette,n_clusters,n_ruido,inercia,codo_k,hiperparametros
1,jerarquico,0.601312,0.601312,2,0,,,"k=2,metodo=average"
2,jerarquico,0.601312,0.601312,2,0,,,"k=2,metodo=single"
3,jerarquico,0.511727,0.511727,3,0,,,"k=3,metodo=single"
4,jerarquico,0.496289,0.496289,2,0,,,"k=2,metodo=complete"
5,jerarquico,0.451876,0.451876,3,0,,,"k=3,metodo=average"
6,jerarquico,0.444843,0.444843,4,0,,,"k=4,metodo=single"
7,jerarquico,0.417553,0.417553,4,0,,,"k=4,metodo=average"
8,jerarquico,0.4026,0.4026,5,0,,,"k=5,metodo=single"
9,jerarquico,0.401584,0.401584,5,0,,,"k=5,metodo=average"
10,jerarquico,0.36212,0.36212,7,0,,,"k=7,metodo=average"
11,jerarquico,0.34576,0.34576,2,0,,,"k=2,metodo=ward"
12,jerarquico,0.33776,0.33776,8,0,,,"k=8,metodo=average"
13,jerarquico,0.330186,0.330186,10,0,,,"k=10,metodo=ward"
14,jerarquico,0.330008,0.330008,9,0,,,"k=9,metodo=average"
15,jerarquico,0.327277,0.327277,7,0,,,"k=7,metodo=complete"
16,jerarquico,0.324494,0.324494,6,0,,,"k=6,metodo=single"
17,jerarquico,0.322063,0.322063,9,0,,,"k=9,metodo=ward"
18,jerarquico,0.320697,0.320697,10,0,,,"k=10,metodo=complete"
19,jerarquico,0.320625,0.320625,3,0,,,"k=3,metodo=complete"
20,jerarquico,0.319502,0.319502,7,0,,,"k=7,metodo=ward"
21,jerarquico,0.31773,0.31773,8,0,,,"k=8,metodo=complete"
22,jerarquico,0.317626,0.317626,3,0,,,"k=3,metodo=ward"
23,jerarquico,0.315834,0.315834,9,0,,,"k=9,metodo=complete"
24,jerarquico,0.314551,0.314551,8,0,,,"k=8,metodo=ward"
25,jerarquico,0.312792,0.312792,7,0,,,"k=7,metodo=single"
26,jerarquico,0.312091,0.312091,5,0,,,"k=5,metodo=ward"
27,jerarquico,0.307825,0.307825,10,0,,,"k=10,metodo=average"
28,jerarquico,0.302128,0.302128,4,0,,,"k=4,metodo=ward"
29,jerarquico,0.29514,0.29514,6,0,,,"k=6,metodo=ward"
30,jerarquico,0.290389,0.290389,8,0,,,"k=8,metodo=single"
31,jerarquico,0.287805,0.287805,10,0,,,"k=10,metodo=single"
32,jerarquico,0.287778,0.287778,9,0,,,"k=9,metodo=single"
33,jerarquico,0.248992,0.248992,6,0,,,"k=6,metodo=average"
34,jerarquico,0.24671,0.24671,6,0,,,"k=6,metodo=complete"
35,jerarquico,0.216261,0.216261,5,0,,,"k=5,metodo=complete"
36,jerarquico,0.213114,0.213114,4,0,,,"k=4,metodo=complete"
1,kmeans,0.80358,0.372067,2,0,1063924.875,3.0,k=2
2,kmeans,0.766667,0.385944,10,0,247827.5312,3.0,k=10
3,kmeans,0.757251,0.382306,9,0,278790.5312,3.0,k=9
4,kmeans,0.511878,0.355755,7,0,376896.375,3.0,k=7
5,kmeans,0.510141,0.349934,5,0,504047.5938,3.0,k=5
6,kmeans,0.453979,0.353664,8,0,329844.5625,3.0,k=8
7,kmeans,0.441788,0.346954,6,0,441063.8125,3.0,k=6
8,kmeans,0.311355,0.327347,3,0,792418.4375,3.0,k=3
9,kmeans,0.266667,0.326381,4,0,654926.75,3.0,k=4
