rank,ngrama,modelo,reduccion,score_ranking,silhouette,n_clusters,n_ruido,pct_ruido,inercia,codo_k,hiperparametros
6,bigramas,jerarquico,UMAP,0.901589,0.901589,3,0,0.0,,,"k=3,metodo=complete"
7,bigramas,jerarquico,UMAP,0.901589,0.901589,3,0,0.0,,,"k=3,metodo=average"
8,bigramas,jerarquico,UMAP,0.901589,0.901589,3,0,0.0,,,"k=3,metodo=single"
9,bigramas,jerarquico,UMAP,0.842509,0.842509,2,0,0.0,,,"k=2,metodo=ward"
10,bigramas,jerarquico,UMAP,0.815992,0.815992,7,0,0.0,,,"k=7,metodo=average"
11,bigramas,jerarquico,UMAP,0.815992,0.815992,7,0,0.0,,,"k=7,metodo=single"
12,bigramas,jerarquico,UMAP,0.812052,0.812052,6,0,0.0,,,"k=6,metodo=average"
13,bigramas,jerarquico,UMAP,0.812052,0.812052,6,0,0.0,,,"k=6,metodo=single"
14,bigramas,jerarquico,PCA,0.807598,0.807598,2,0,0.0,,,"k=2,metodo=ward"
15,bigramas,jerarquico,PCA,0.807598,0.807598,2,0,0.0,,,"k=2,metodo=complete"
16,bigramas,jerarquico,PCA,0.807598,0.807598,2,0,0.0,,,"k=2,metodo=average"
17,bigramas,jerarquico,PCA,0.807598,0.807598,2,0,0.0,,,"k=2,metodo=single"
18,bigramas,jerarquico,UMAP,0.803288,0.803288,5,0,0.0,,,"k=5,metodo=ward"
19,bigramas,jerarquico,UMAP,0.803288,0.803288,5,0,0.0,,,"k=5,metodo=complete"
20,bigramas,jerarquico,UMAP,0.803288,0.803288,5,0,0.0,,,"k=5,metodo=average"
21,bigramas,jerarquico,UMAP,0.803288,0.803288,5,0,0.0,,,"k=5,metodo=single"
22,bigramas,jerarquico,UMAP,0.779077,0.779077,2,0,0.0,,,"k=2,metodo=complete"
23,bigramas,jerarquico,UMAP,0.779077,0.779077,2,0,0.0,,,"k=2,metodo=average"
24,bigramas,jerarquico,UMAP,0.779077,0.779077,2,0,0.0,,,"k=2,metodo=single"
25,bigramas,jerarquico,PCA,0.742191,0.742191,3,0,0.0,,,"k=3,metodo=ward"
26,bigramas,jerarquico,PCA,0.742191,0.742191,3,0,0.0,,,"k=3,metodo=complete"
27,bigramas,jerarquico,PCA,0.742191,0.742191,3,0,0.0,,,"k=3,metodo=single"
28,bigramas,jerarquico,PCA,0.698223,0.698223,3,0,0.0,,,"k=3,metodo=average"
29,bigramas,jerarquico,PCA,0.653789,0.653789,4,0,0.0,,,"k=4,metodo=single"
30,bigramas,jerarquico,PCA,0.644791,0.644791,4,0,0.0,,,"k=4,metodo=ward"
31,bigramas,jerarquico,PCA,0.611422,0.611422,5,0,0.0,,,"k=5,metodo=average"
32,bigramas,jerarquico,PCA,0.591529,0.591529,4,0,0.0,,,"k=4,metodo=average"
33,bigramas,jerarquico,PCA,0.571703,0.571703,6,0,0.0,,,"k=6,metodo=average"
34,bigramas,jerarquico,PCA,0.571703,0.571703,6,0,0.0,,,"k=6,metodo=single"
35,bigramas,jerarquico,UMAP,0.555097,0.555097,8,0,0.0,,,"k=8,metodo=single"
36,bigramas,jerarquico,PCA,0.535185,0.535185,9,0,0.0,,,"k=9,metodo=average"
37,bigramas,jerarquico,PCA,0.530881,0.530881,9,0,0.0,,,"k=9,metodo=ward"
38,bigramas,jerarquico,PCA,0.52907,0.52907,10,0,0.0,,,"k=10,metodo=average"
39,bigramas,jerarquico,PCA,0.519566,0.519566,10,0,0.0,,,"k=10,metodo=complete"
40,bigramas,jerarquico,UMAP,0.518309,0.518309,8,0,0.0,,,"k=8,metodo=complete"
41,bigramas,jerarquico,UMAP,0.514018,0.514018,9,0,0.0,,,"k=9,metodo=average"
42,bigramas,jerarquico,PCA,0.513231,0.513231,8,0,0.0,,,"k=8,metodo=ward"
43,bigramas,jerarquico,PCA,0.511148,0.511148,9,0,0.0,,,"k=9,metodo=complete"
44,bigramas,jerarquico,PCA,0.507421,0.507421,7,0,0.0,,,"k=7,metodo=average"
45,bigramas,jerarquico,UMAP,0.505504,0.505504,8,0,0.0,,,"k=8,metodo=ward"
46,bigramas,jerarquico,PCA,0.503812,0.503812,4,0,0.0,,,"k=4,metodo=complete"
47,bigramas,jerarquico,PCA,0.502976,0.502976,7,0,0.0,,,"k=7,metodo=ward"
48,bigramas,jerarquico,UMAP,0.502141,0.502141,10,0,0.0,,,"k=10,metodo=average"
49,bigramas,jerarquico,UMAP,0.501677,0.501677,8,0,0.0,,,"k=8,metodo=average"
50,bigramas,jerarquico,PCA,0.50119,0.50119,5,0,0.0,,,"k=5,metodo=single"
51,bigramas,jerarquico,UMAP,0.497738,0.497738,7,0,0.0,,,"k=7,metodo=ward"
52,bigramas,jerarquico,PCA,0.492849,0.492849,7,0,0.0,,,"k=7,metodo=complete"
53,bigramas,jerarquico,UMAP,0.489996,0.489996,7,0,0.0,,,"k=7,metodo=complete"
54,bigramas,jerarquico,UMAP,0.488974,0.488974,6,0,0.0,,,"k=6,metodo=ward"
55,bigramas,jerarquico,PCA,0.488798,0.488798,6,0,0.0,,,"k=6,metodo=ward"
56,bigramas,jerarquico,UMAP,0.488539,0.488539,9,0,0.0,,,"k=9,metodo=complete"
57,bigramas,jerarquico,PCA,0.488054,0.488054,8,0,0.0,,,"k=8,metodo=complete"
58,bigramas,jerarquico,PCA,0.48758,0.48758,7,0,0.0,,,"k=7,metodo=single"
59,bigramas,jerarquico,UMAP,0.484805,0.484805,10,0,0.0,,,"k=10,metodo=ward"
60,bigramas,jerarquico,PCA,0.483967,0.483967,9,0,0.0,,,"k=9,metodo=single"
61,bigramas,jerarquico,UMAP,0.481232,0.481232,6,0,0.0,,,"k=6,metodo=complete"
62,bigramas,jerarquico,UMAP,0.480866,0.480866,9,0,0.0,,,"k=9,metodo=ward"
63,bigramas,jerarquico,PCA,0.479353,0.479353,6,0,0.0,,,"k=6,metodo=complete"
64,bigramas,jerarquico,PCA,0.473257,0.473257,8,0,0.0,,,"k=8,metodo=single"
65,bigramas,jerarquico,UMAP,0.472278,0.472278,10,0,0.0,,,"k=10,metodo=complete"
66,bigramas,jerarquico,PCA,0.471995,0.471995,10,0,0.0,,,"k=10,metodo=ward"
67,bigramas,jerarquico,PCA,0.470297,0.470297,8,0,0.0,,,"k=8,metodo=average"
68,bigramas,jerarquico,PCA,0.465848,0.465848,5,0,0.0,,,"k=5,metodo=ward"
69,bigramas,jerarquico,PCA,0.465848,0.465848,5,0,0.0,,,"k=5,metodo=complete"
70,bigramas,jerarquico,PCA,0.372627,0.372627,10,0,0.0,,,"k=10,metodo=single"
71,bigramas,jerarquico,UMAP,0.348381,0.348381,9,0,0.0,,,"k=9,metodo=single"
72,bigramas,jerarquico,TSNE,0.306827,0.306827,5,0,0.0,,,"k=5,metodo=ward"
73,bigramas,jerarquico,TSNE,0.30549,0.30549,9,0,0.0,,,"k=9,metodo=ward"
74,bigramas,jerarquico,TSNE,0.304768,0.304768,3,0,0.0,,,"k=3,metodo=ward"
75,bigramas,jerarquico,TSNE,0.30445,0.30445,3,0,0.0,,,"k=3,metodo=complete"
76,bigramas,jerarquico,TSNE,0.301829,0.301829,10,0,0.0,,,"k=10,metodo=ward"
77,bigramas,jerarquico,TSNE,0.299101,0.299101,8,0,0.0,,,"k=8,metodo=ward"
78,bigramas,jerarquico,TSNE,0.295338,0.295338,6,0,0.0,,,"k=6,metodo=ward"
79,bigramas,jerarquico,TSNE,0.293726,0.293726,2,0,0.0,,,"k=2,metodo=complete"
80,bigramas,jerarquico,TSNE,0.292682,0.292682,7,0,0.0,,,"k=7,metodo=ward"
81,bigramas,jerarquico,TSNE,0.290948,0.290948,2,0,0.0,,,"k=2,metodo=average"
82,bigramas,jerarquico,TSNE,0.289929,0.289929,2,0,0.0,,,"k=2,metodo=ward"
83,bigramas,jerarquico,TSNE,0.288824,0.288824,4,0,0.0,,,"k=4,metodo=complete"
84,bigramas,jerarquico,TSNE,0.28585,0.28585,4,0,0.0,,,"k=4,metodo=ward"
85,bigramas,jerarquico,TSNE,0.285022,0.285022,3,0,0.0,,,"k=3,metodo=average"
86,bigramas,jerarquico,TSNE,0.282418,0.282418,5,0,0.0,,,"k=5,metodo=complete"
87,bigramas,jerarquico,TSNE,0.282214,0.282214,7,0,0.0,,,"k=7,metodo=average"
88,bigramas,jerarquico,TSNE,0.280062,0.280062,5,0,0.0,,,"k=5,metodo=average"
89,bigramas,jerarquico,TSNE,0.275722,0.275722,8,0,0.0,,,"k=8,metodo=complete"
90,bigramas,jerarquico,TSNE,0.268704,0.268704,4,0,0.0,,,"k=4,metodo=average"
91,bigramas,jerarquico,TSNE,0.26844,0.26844,8,0,0.0,,,"k=8,metodo=average"
92,bigramas,jerarquico,TSNE,0.265712,0.265712,9,0,0.0,,,"k=9,metodo=average"
93,bigramas,jerarquico,TSNE,0.265082,0.265082,10,0,0.0,,,"k=10,metodo=complete"
94,bigramas,jerarquico,TSNE,0.263656,0.263656,9,0,0.0,,,"k=9,metodo=complete"
95,bigramas,jerarquico,TSNE,0.261786,0.261786,6,0,0.0,,,"k=6,metodo=complete"
96,bigramas,jerarquico,TSNE,0.260702,0.260702,6,0,0.0,,,"k=6,metodo=average"
97,bigramas,jerarquico,TSNE,0.26065,0.26065,7,0,0.0,,,"k=7,metodo=complete"
98,bigramas,jerarquico,TSNE,0.249268,0.249268,10,0,0.0,,,"k=10,metodo=average"
99,bigramas,jerarquico,UMAP,0.243795,0.243795,10,0,0.0,,,"k=10,metodo=single"
100,bigramas,jerarquico,TSNE,0.172157,0.172157,2,0,0.0,,,"k=2,metodo=single"
101,bigramas,jerarquico,TSNE,-0.064234,-0.064234,3,0,0.0,,,"k=3,metodo=single"
102,bigramas,jerarquico,TSNE,-0.086559,-0.086559,4,0,0.0,,,"k=4,metodo=single"
103,bigramas,jerarquico,TSNE,-0.180141,-0.180141,5,0,0.0,,,"k=5,metodo=single"
104,bigramas,jerarquico,TSNE,-0.213613,-0.213613,9,0,0.0,,,"k=9,metodo=single"
105,bigramas,jerarquico,TSNE,-0.214241,-0.214241,10,0,0.0,,,"k=10,metodo=single"
106,bigramas,jerarquico,TSNE,-0.229751,-0.229751,8,0,0.0,,,"k=8,metodo=single"
107,bigramas,jerarquico,TSNE,-0.231421,-0.231421,6,0,0.0,,,"k=6,metodo=single"
108,bigramas,jerarquico,TSNE,-0.23188,-0.23188,7,0,0.0,,,"k=7,metodo=single"
1,bigramas,kmeans,TSNE,1.0,0.354888,3,0,0.0,5405561.0,3.0,k=3
2,bigramas,kmeans,UMAP,0.993705,0.901589,3,0,0.0,690.3943,3.0,k=3
3,bigramas,kmeans,PCA,0.966667,0.602178,4,0,0.0,0.5631,3.0,k=4
4,bigramas,kmeans,UMAP,0.966667,0.905199,4,0,0.0,322.4618,3.0,k=4
5,bigramas,kmeans,UMAP,0.857367,0.842509,2,0,0.0,5219.3306,3.0,k=2
6,bigramas,kmeans,TSNE,0.797903,0.339464,4,0,0.0,4003317.0,3.0,k=4
7,bigramas,kmeans,UMAP,0.755654,0.803288,5,0,0.0,102.915,3.0,k=5
8,bigramas,kmeans,PCA,0.713179,0.486893,3,0,0.0,1.635,3.0,k=3
9,bigramas,kmeans,PCA,0.655211,0.543981,9,0,0.0,0.1344,3.0,k=9
10,bigramas,kmeans,TSNE,0.6205,0.323251,2,0,0.0,8658054.0,3.0,k=2
11,bigramas,kmeans,PCA,0.579888,0.500308,8,0,0.0,0.2021,3.0,k=8
12,bigramas,kmeans,PCA,0.492151,0.438246,6,0,0.0,0.3079,3.0,k=6
13,bigramas,kmeans,PCA,0.488825,0.450308,7,0,0.0,0.2545,3.0,k=7
14,bigramas,kmeans,TSNE,0.463586,0.311956,5,0,0.0,3267513.5,3.0,k=5
15,bigramas,kmeans,PCA,0.443933,0.405467,5,0,0.0,0.4115,3.0,k=5
16,bigramas,kmeans,TSNE,0.374574,0.31296,8,0,0.0,1999052.5,3.0,k=8
17,bigramas,kmeans,TSNE,0.363318,0.308885,7,0,0.0,2299413.0,3.0,k=7
18,bigramas,kmeans,PCA,0.334135,0.428325,10,0,0.0,0.1156,3.0,k=10
19,bigramas,kmeans,TSNE,0.281579,0.307508,9,0,0.0,1886502.5,3.0,k=9
20,bigramas,kmeans,PCA,0.266667,0.320818,2,0,0.0,4.0331,3.0,k=2
21,bigramas,kmeans,TSNE,0.238078,0.306578,10,0,0.0,1656963.25,3.0,k=10
22,bigramas,kmeans,UMAP,0.219695,0.514998,6,0,0.0,73.0969,3.0,k=6
23,bigramas,kmeans,TSNE,0.2,0.290913,6,0,0.0,2780949.25,3.0,k=6
24,bigramas,kmeans,UMAP,0.171546,0.5065,7,0,0.0,56.6162,3.0,k=7
25,bigramas,kmeans,UMAP,0.15487,0.516054,8,0,0.0,39.3567,3.0,k=8
26,bigramas,kmeans,UMAP,0.1,0.503702,9,0,0.0,34.463,3.0,k=9
