rank,ngrama,modelo,reduccion,score_ranking,silhouette,n_clusters,n_ruido,pct_ruido,inercia,codo_k,hiperparametros
1,bigramas,dbscan,UMAP,0.753941,0.753941,7,0,0.0,,,"eps=0.7,min_samples=2"
1,bigramas,jerarquico,UMAP,0.831321,0.831321,5,0,0.0,,,"k=5,metodo=average"
1,bigramas,kmeans,UMAP,1.0,0.822596,3,0,0.0,908.5062,3.0,k=3
1,trigramas,dbscan,UMAP,0.171587,0.336445,9,49,0.49,,,"eps=0.3,min_samples=4"
1,trigramas,jerarquico,PCA,0.509522,0.509522,10,0,0.0,,,"k=10,metodo=average"
1,trigramas,kmeans,TSNE,1.0,0.352005,3,0,0.0,5949569.5,3.0,k=3
1,unigramas,dbscan,UMAP,0.552053,0.587506,24,7,0.0603,,,"eps=0.3,min_samples=2"
1,unigramas,jerarquico,UMAP,0.564714,0.564714,10,0,0.0,,,"k=10,metodo=average"
1,unigramas,kmeans,PCA,1.0,0.518816,3,0,0.0,2.5533,3.0,k=3
